Date,Product,Region,Sales_Amount,Quantity,Customer_Age,Customer_ID
2023-10-19 21:17:16,Smartphone,West,605.8446850707695,9,43,CUST00001
2023-07-29 15:21:50,Smartwatch,South,377.051485754979,3,65,CUST00002
2023-10-21 08:38:02,Tablet,South,548.1999771971149,2,64,CUST00003
2023-12-01 05:23:19,Laptop,Central,548.9567483929319,3,31,CUST00004
2022-09-02 00:03:08,Tablet,East,557.5625788397288,7,65,CUST00005
2022-06-04 02:38:12,Laptop,East,346.6407063693522,8,48,CUST00006
2023-02-19 05:22:01,Smartwatch,Central,537.0805099439948,2,44,CUST00007
2022-11-06 10:37:10,Smartwatch,West,765.3946619394762,7,73,CUST00008
2023-07-12 04:23:38,Headphones,North,431.457116428465,5,26,CUST00009
2022-11-01 10:04:58,Headphones,North,538.9606619986192,9,40,CUST00010
2022-12-05 02:05:11,Headphones,West,223.6949381321593,7,71,CUST00011
2022-10-05 13:30:28,Smartwatch,Central,537.93416252633,1,70,CUST00012
2023-01-02 02:48:03,Smartphone,South,532.4853959256329,1,27,CUST00013
2022-04-22 10:35:19,Smartwatch,East,517.4711115937985,6,64,CUST00014
2022-09-03 22:41:27,Tablet,South,609.5546793878218,9,75,CUST00015
2023-05-26 04:48:02,Smartwatch,East,458.1444898914164,1,40,CUST00016
2022-09-04 12:54:45,Smartwatch,South,676.460230462053,3,27,CUST00017
2023-04-20 01:34:44,Laptop,Central,367.5303420111823,5,19,CUST00018
2022-02-27 15:45:05,Laptop,Central,716.4925298672925,4,54,CUST00019
2022-06-11 11:56:07,Laptop,West,531.8982622579834,1,78,CUST00020
2022-08-03 15:08:27,Smartwatch,South,489.2539380663615,4,57,CUST00021
2022-02-22 07:56:13,Smartphone,South,,4,55,CUST00022
2023-04-04 00:51:49,Tablet,Wesu,333.54515444794504,4,55,CUST00023
2022-02-08 17:06:09,Tablet,West,552.6259211636961,3,18,CUST00024
2023-05-10 14:46:23,Smartphone,Central,392.4787852887183,7,65,CUST00025
2023-01-25 13:23:07,Smartphone,Central,649.2579119985569,1,35,CUST00026
2023-07-28 03:14:28,Tablet,South,543.1153627544126,2,52,CUST00027
2023-02-07 23:26:24,Headphones,Central,286.24784966541745,1,24,CUST00028
2023-01-02 05:27:39,Laptop,Central,614.1629908413097,4,61,CUST00029
2022-04-24 05:57:13,Laptop,South,475.6383370972659,5,59,CUST00030
2023-03-30 22:13:41,Tablet,West,493.1360046257143,5,39,CUST00031
2022-12-18 06:26:04,Smartphone,South,656.6878406812199,2,70,CUST00032
2023-05-16 14:00:11,Headphones,North,290.8550340497446,3,42,CUST00033
2023-01-05 17:11:52,Tablet,South,331.304834055859,4,59,CUST00034
2023-05-12 01:34:40,Laptop,North,548.8369296312138,6,40,CUST00035
2023-03-31 19:58:18,Smartwatch,South,245.18460403125317,6,26,CUST00036
2022-05-04 04:14:50,Smartphone,North,,2,44,CUST00037
2023-04-05 02:57:02,Smartwatch,North,646.7689699977401,2,28,CUST00038
2023-12-22 11:51:05,Tablet,South,483.6906329796657,9,68,CUST00039
2023-06-26 13:49:15,Laptop,Central,293.8354839729557,2,44,CUST00040
2022-09-06 19:49:15,Headphones,East,,2,57,CUST00041
2022-12-14 07:37:51,Smartwatch,Central,439.2674584911063,3,45,CUST00042
2023-11-29 00:06:38,Headphones,North,,9,74,CUST00043
2022-05-27 09:30:37,Laptop,South,1033.4687111565222,6,35,CUST00044
2023-09-13 10:55:57,Smartwatch,South,586.224182657201,6,53,CUST00045
2022-07-15 03:51:10,Headphones,South,457.480693201125,5,51,CUST00046
2023-03-24 22:33:33,Headphones,South,634.7458270785345,7,30,CUST00047
2023-08-29 03:53:22,Smartwatch,East,456.35198883497986,4,72,CUST00048
2023-01-06 22:30:03,Laptop,West,422.2796346117457,3,63,CUST00049
2023-12-09 14:20:38,Headphones,North,544.916900608214,7,69,CUST00050
2023-12-21 20:22:11,Tablet,East,576.3035120285313,1,47,CUST00051
2023-12-12 08:07:27,Smartwatch,Central,638.8616901053856,6,45,CUST00052
2023-11-09 22:38:48,Smartphone,West,713.5498370363586,2,39,CUST00053
2022-01-29 02:33:08,Smartphone,West,678.1258280768983,2,41,CUST00054
2023-11-17 17:53:54,Laptop,South,628.485517064607,8,64,CUST00055
2023-02-24 04:24:38,Tablet,East,643.8901188009029,3,47,CUST00056
2023-12-11 13:41:40,Headphones,Central,677.7050012403512,9,62,CUST00057
2023-10-09 04:42:48,Smartphone,South,606.4738982790896,4,55,CUST00058
2022-05-07 20:10:14,Laptop,South,,6,37,CUST00059
2023-10-22 09:42:41,Tablet,Norti,574.6467217795089,1,23,CUST00060
2023-07-20 23:28:03,Tablet,West,706.5465688323239,3,50,CUST00061
2022-08-22 17:24:40,Laptop,Centram,379.57712406245105,4,64,CUST00062
2023-09-14 17:28:27,Laptop,Wesu,441.1917259622777,5,55,CUST00063
2022-02-09 04:22:37,Headphones,East,490.98455872752965,1,76,CUST00064
2023-07-27 18:41:53,Laptop,North,528.5156092175812,4,32,CUST00065
2023-06-02 19:22:33,Headphones,South,,5,32,CUST00066
2023-01-20 16:42:48,Headphones,North,508.58931715105183,4,49,CUST00067
